barcode,name,brand,unit,category,image_url
6260492610086,آب معدنی پیورلایف نستله ۱.۵ لیتری,نستله,1.5 L,نوشیدنی,
6260191403880,کنسرو نخود آبگوشتی اروم آدا ۳۹۰ گرمی,اروم آدا,390 g,کنسرو,
6260333800201,رشته آشی ۵۰۰ گرمی,,500 g,خواربار,
6260582703650,سبزی قورمه سرخ‌شده هانی ۴۶۰ گرمی,هانی,460 g,غذای آماده,
6262004907516,سس کچاپ کاله,کاله,,سس,
6262004909633,سس باربیکیو کاله,کاله,,سس,
6262004907172,سس هزارجزیره کاله پرو ۳۳۰ گرمی,کاله,330 g,سس,
6260161526762,ماست پروبیوتیک پرو کاله ۴۰۰ گرمی,کاله,400 g,لبنیات,
6260161552181,ماست پرو کاله با انار,کاله,,لبنیات,
6260918600585,لبنه کیبی ۳۵۰ گرمی,کیبی,350 g,لبنیات,
6260918600592,پنیر خامه‌ای کیبی ۱۸۰ گرمی,کیبی,180 g,لبنیات,
6260918600349,پنیر کیبی ۶ تکه ۱۰۰ گرمی,کیبی,100 g,لبنیات,
6260806400426,نوشابه کوکاکولا,کوکاکولا,,نوشیدنی,
6260053185954,چیپس خلالی چی‌توز,چی‌توز,,تنقلات,
6260360010147,ویفر کاکائویی کوپا با کرم فندقی,کوپا,,تنقلات,
6260000252173,نودل فوری شف هو با طعم مرغ ۶۵ گرمی,شف هو,65 g,خواربار,
6261149010631,بیسکویت کرم‌دار نارگیلی شیرین عسل,شیرین عسل,,تنقلات,
6261149176863,دراژه مخلوط شیرین عسل ۱۵۰ گرمی,شیرین عسل,150 g,تنقلات,
6260201101133,سیروپ شکلات فرمند ۵۰۰ گرمی,فرمند,500 g,خواربار,
6260101403733,مارشمالو شیبا,شیبا,,تنقلات,
6262058000324,خرمای ثمین برنا,برنا,,خشکبار,
6261462400010,خرمای تازه سان دیتس,سان دیتس,,خشکبار,
6260769400617,کیک برنجی سیس رایس,سیس رایس,,تنقلات,
