category,subcategory,name,brand,unit,min_stock_alert,barcode
لبنیات,شیر,شیر کم‌چرب ۱ لیتری,,عدد,0,2099000000019
لبنیات,شیر,شیر پرچرب ۱ لیتری,,عدد,0,2099000000026
لبنیات,شیر,شیر کاکائو ۲۰۰ میلی‌لیتر,,عدد,0,2099000000033
لبنیات,شیر,شیر نیم‌چرب بطری ۹۴۶ میلی‌لیتر,,عدد,0,2099000000040
لبنیات,ماست,ماست پرچرب ۹۰۰ گرمی,,عدد,0,2099000000057
لبنیات,ماست,ماست کم‌چرب ۹۰۰ گرمی,,عدد,0,2099000000064
لبنیات,ماست,ماست موسیر ۲۵۰ گرمی,,عدد,0,2099000000071
لبنیات,ماست,ماست چکیده ۵۰۰ گرمی,,عدد,0,2099000000088
لبنیات,ماست,ماست همزده ۱.۵ کیلویی,,عدد,0,2099000000095
لبنیات,پنیر,پنیر سفید ۴۰۰ گرمی,,عدد,0,2099000000101
لبنیات,پنیر,پنیر خامه‌ای ۲۰۰ گرمی,,عدد,0,2099000000118
لبنیات,پنیر,پنیر پیتزا رنده‌شده ۵۰۰ گرمی,,عدد,0,2099000000125
لبنیات,پنیر,پنیر لیقوان ۴۰۰ گرمی,,عدد,0,2099000000132
لبنیات,سایر لبنیات,دوغ ۱.۵ لیتری,,عدد,0,2099000000149
لبنیات,سایر لبنیات,دوغ گازدار ۳۰۰ میلی‌لیتر,,عدد,0,2099000000156
لبنیات,سایر لبنیات,خامه صبحانه ۱۰۰ گرمی,,عدد,0,2099000000163
لبنیات,سایر لبنیات,کره حیوانی ۱۰۰ گرمی,,عدد,0,2099000000170
لبنیات,سایر لبنیات,کشک شیشه‌ای ۵۰۰ گرمی,,عدد,0,2099000000187
نوشیدنی,نوشابه,نوشابه کولا ۱.۵ لیتری,,عدد,0,2099000000194
نوشیدنی,نوشابه,نوشابه پرتقالی ۱.۵ لیتری,,عدد,0,2099000000200
نوشیدنی,نوشابه,نوشابه کولا قوطی ۳۳۰ میلی‌لیتر,,عدد,0,2099000000217
نوشیدنی,نوشابه,نوشابه لیمویی ۳۰۰ میلی‌لیتر,,عدد,0,2099000000224
نوشیدنی,آب و آبمیوه,آب معدنی ۱.۵ لیتری,,عدد,0,2099000000231
نوشیدنی,آب و آبمیوه,آب معدنی ۵۰۰ میلی‌لیتر,,عدد,0,2099000000248
نوشیدنی,آب و آبمیوه,آبمیوه پرتقال ۱ لیتری,,عدد,0,2099000000255
نوشیدنی,آب و آبمیوه,آبمیوه آناناس ۱ لیتری,,عدد,0,2099000000262
نوشیدنی,آب و آبمیوه,آب‌آلبالو ۲۰۰ میلی‌لیتر,,عدد,0,2099000000279
نوشیدنی,آب و آبمیوه,ماءالشعیر لیمو ۱ لیتری,,عدد,0,2099000000286
نوشیدنی,آب و آبمیوه,ماءالشعیر کلاسیک قوطی,,عدد,0,2099000000293
نوشیدنی,چای و قهوه,چای سیاه ۵۰۰ گرمی,,عدد,0,2099000000309
نوشیدنی,چای و قهوه,چای کیسه‌ای ۱۰۰ عددی,,عدد,0,2099000000316
نوشیدنی,چای و قهوه,قهوه فوری ۱۰۰ گرمی,,عدد,0,2099000000323
نوشیدنی,چای و قهوه,نسکافه ۳ در ۱ (۲۰ عددی),,عدد,0,2099000000330
نوشیدنی,چای و قهوه,دمنوش گل گاوزبان ۲۰ عددی,,عدد,0,2099000000347
خواربار,برنج و حبوبات,برنج ایرانی هاشمی,,کیلوگرم,0,2099000000354
خواربار,برنج و حبوبات,برنج پاکستانی,,کیلوگرم,0,2099000000361
خواربار,برنج و حبوبات,عدس,,کیلوگرم,0,2099000000378
خواربار,برنج و حبوبات,لوبیا قرمز,,کیلوگرم,0,2099000000385
خواربار,برنج و حبوبات,لوبیا چیتی,,کیلوگرم,0,2099000000392
خواربار,برنج و حبوبات,نخود,,کیلوگرم,0,2099000000408
خواربار,برنج و حبوبات,لپه,,کیلوگرم,0,2099000000415
خواربار,برنج و حبوبات,ماش,,کیلوگرم,0,2099000000422
خواربار,روغن,روغن مایع آفتابگردان ۱.۸ لیتری,,عدد,0,2099000000439
خواربار,روغن,روغن سرخ‌کردنی ۱.۸ لیتری,,عدد,0,2099000000446
خواربار,روغن,روغن زیتون ۵۰۰ میلی‌لیتری,,عدد,0,2099000000453
خواربار,روغن,روغن جامد ۴ کیلویی,,عدد,0,2099000000460
خواربار,قند و شکر,قند شکسته ۵ کیلویی,,عدد,0,2099000000477
خواربار,قند و شکر,شکر ۹۰۰ گرمی,,عدد,0,2099000000484
خواربار,قند و شکر,نبات زعفرانی ۴۰۰ گرمی,,عدد,0,2099000000491
خواربار,ماکارونی و آرد,ماکارونی رشته‌ای ۷۰۰ گرمی,,عدد,0,2099000000507
خواربار,ماکارونی و آرد,ماکارونی فرمی ۵۰۰ گرمی,,عدد,0,2099000000514
خواربار,ماکارونی و آرد,رشته آش ۵۰۰ گرمی,,عدد,0,2099000000521
خواربار,ماکارونی و آرد,آرد سفید ۹۰۰ گرمی,,عدد,0,2099000000538
خواربار,ماکارونی و آرد,آرد سوخاری ۲۰۰ گرمی,,عدد,0,2099000000545
خواربار,کنسرو و رب,رب گوجه‌فرنگی ۸۰۰ گرمی,,عدد,0,2099000000552
خواربار,کنسرو و رب,کنسرو تن ماهی ۱۸۰ گرمی,,عدد,0,2099000000569
خواربار,کنسرو و رب,کنسرو لوبیا چیتی ۳۸۰ گرمی,,عدد,0,2099000000576
خواربار,کنسرو و رب,کنسرو ذرت ۳۸۰ گرمی,,عدد,0,2099000000583
خواربار,کنسرو و رب,کنسرو نخود سبز ۳۸۰ گرمی,,عدد,0,2099000000590
خواربار,کنسرو و رب,کمپوت آناناس ۵۶۵ گرمی,,عدد,0,2099000000606
خواربار,چاشنی,نمک تصفیه‌شده ۱ کیلویی,,عدد,0,2099000000613
خواربار,چاشنی,فلفل سیاه ۱۰۰ گرمی,,عدد,0,2099000000620
خواربار,چاشنی,زردچوبه ۱۰۰ گرمی,,عدد,0,2099000000637
خواربار,چاشنی,زعفران ۱ گرمی,,عدد,0,2099000000644
خواربار,چاشنی,سرکه سفید ۱ لیتری,,عدد,0,2099000000651
خواربار,چاشنی,آبلیمو ۱ لیتری,,عدد,0,2099000000668
خواربار,چاشنی,سس مایونز ۴۵۰ گرمی,,عدد,0,2099000000675
خواربار,چاشنی,سس کچاپ ۴۰۰ گرمی,,عدد,0,2099000000682
خواربار,چاشنی,سس فرانسوی ۴۵۰ گرمی,,عدد,0,2099000000699
خواربار,چاشنی,خیارشور ۱.۵ کیلویی,,عدد,0,2099000000705
خواربار,چاشنی,ترشی مخلوط ۶۵۰ گرمی,,عدد,0,2099000000712
خواربار,چاشنی,زیتون شور ۶۵۰ گرمی,,عدد,0,2099000000729
نان و شیرینی,نان,نان تست ۴۵۰ گرمی,,عدد,0,2099000000736
نان و شیرینی,نان,نان باگت,,عدد,0,2099000000743
نان و شیرینی,نان,نان لواش بسته‌ای,,عدد,0,2099000000750
نان و شیرینی,نان,نان همبرگر ۴ عددی,,عدد,0,2099000000767
نان و شیرینی,کیک و بیسکویت,کیک کاکائویی ۱۰۰ گرمی,,عدد,0,2099000000774
نان و شیرینی,کیک و بیسکویت,کیک وانیلی ۱۰۰ گرمی,,عدد,0,2099000000781
نان و شیرینی,کیک و بیسکویت,بیسکویت ساقه طلایی ۲۰۰ گرمی,,عدد,0,2099000000798
نان و شیرینی,کیک و بیسکویت,بیسکویت پتی‌بور ۱۲۵ گرمی,,عدد,0,2099000000804
نان و شیرینی,کیک و بیسکویت,ویفر کاکائویی ۴۰ گرمی,,عدد,0,2099000000811
نان و شیرینی,کیک و بیسکویت,کلوچه نارگیلی,,عدد,0,2099000000828
نان و شیرینی,کیک و بیسکویت,نان خامه‌ای,,عدد,0,2099000000835
تنقلات,چیپس و پفک,چیپس سیب‌زمینی ساده ۱۲۰ گرمی,,عدد,0,2099000000842
تنقلات,چیپس و پفک,چیپس کچاپ ۱۲۰ گرمی,,عدد,0,2099000000859
تنقلات,چیپس و پفک,پفک نمکی ۶۰ گرمی,,عدد,0,2099000000866
تنقلات,چیپس و پفک,پاپ‌کورن پنیری ۹۰ گرمی,,عدد,0,2099000000873
تنقلات,چیپس و پفک,اسنک پنیری ۸۰ گرمی,,عدد,0,2099000000880
تنقلات,شکلات و آدامس,شکلات تخته‌ای شیری ۱۰۰ گرمی,,عدد,0,2099000000897
تنقلات,شکلات و آدامس,شکلات تلخ ۷۲٪ ۱۰۰ گرمی,,عدد,0,2099000000903
تنقلات,شکلات و آدامس,آدامس نعنایی ۱۴ عددی,,عدد,0,2099000000910
تنقلات,شکلات و آدامس,آبنبات میوه‌ای ۱ کیلویی,,عدد,0,2099000000927
تنقلات,شکلات و آدامس,تافی ۱ کیلویی,,عدد,0,2099000000934
تنقلات,شکلات و آدامس,پاستیل خرسی ۱۰۰ گرمی,,عدد,0,2099000000941
تنقلات,آجیل و خشکبار,تخمه آفتابگردان,,کیلوگرم,0,2099000000958
تنقلات,آجیل و خشکبار,پسته احمدآقایی,,کیلوگرم,0,2099000000965
تنقلات,آجیل و خشکبار,بادام زمینی,,کیلوگرم,0,2099000000972
تنقلات,آجیل و خشکبار,کشمش,,کیلوگرم,0,2099000000989
تنقلات,آجیل و خشکبار,خرما مضافتی,,کیلوگرم,0,2099000000996
تنقلات,آجیل و خشکبار,توت خشک,,کیلوگرم,0,2099000001009
پروتئین,گوشت و مرغ,گوشت گوساله,,کیلوگرم,0,2099000001016
پروتئین,گوشت و مرغ,گوشت گوسفندی,,کیلوگرم,0,2099000001023
پروتئین,گوشت و مرغ,مرغ کامل,,کیلوگرم,0,2099000001030
پروتئین,گوشت و مرغ,ران مرغ,,کیلوگرم,0,2099000001047
پروتئین,گوشت و مرغ,سینه مرغ,,کیلوگرم,0,2099000001054
پروتئین,گوشت و مرغ,فیله ماهی قزل‌آلا,,کیلوگرم,0,2099000001061
پروتئین,فرآورده‌های گوشتی,سوسیس آلمانی ۵۰۰ گرمی,,عدد,0,2099000001078
پروتئین,فرآورده‌های گوشتی,کالباس مرغ ۳۰۰ گرمی,,عدد,0,2099000001085
پروتئین,فرآورده‌های گوشتی,همبرگر ۳۰٪ (۵ عددی),,عدد,0,2099000001092
پروتئین,فرآورده‌های گوشتی,ناگت مرغ ۴۵۰ گرمی,,عدد,0,2099000001108
پروتئین,فرآورده‌های گوشتی,تخم‌مرغ ۲۰ عددی,,عدد,0,2099000001115
پروتئین,فرآورده‌های گوشتی,تخم‌مرغ ۶ عددی,,عدد,0,2099000001122
میوه و سبزیجات,میوه,سیب قرمز,,کیلوگرم,0,2099000001139
میوه و سبزیجات,میوه,سیب زرد,,کیلوگرم,0,2099000001146
میوه و سبزیجات,میوه,موز,,کیلوگرم,0,2099000001153
میوه و سبزیجات,میوه,پرتقال,,کیلوگرم,0,2099000001160
میوه و سبزیجات,میوه,نارنگی,,کیلوگرم,0,2099000001177
میوه و سبزیجات,میوه,انگور,,کیلوگرم,0,2099000001184
میوه و سبزیجات,میوه,هندوانه,,کیلوگرم,0,2099000001191
میوه و سبزیجات,میوه,خربزه,,کیلوگرم,0,2099000001207
میوه و سبزیجات,میوه,خیار,,کیلوگرم,0,2099000001214
میوه و سبزیجات,میوه,گوجه‌فرنگی,,کیلوگرم,0,2099000001221
میوه و سبزیجات,سبزیجات,سیب‌زمینی,,کیلوگرم,0,2099000001238
میوه و سبزیجات,سبزیجات,پیاز,,کیلوگرم,0,2099000001245
میوه و سبزیجات,سبزیجات,هویج,,کیلوگرم,0,2099000001252
میوه و سبزیجات,سبزیجات,کاهو,,کیلوگرم,0,2099000001269
میوه و سبزیجات,سبزیجات,کدو سبز,,کیلوگرم,0,2099000001276
میوه و سبزیجات,سبزیجات,بادمجان,,کیلوگرم,0,2099000001283
میوه و سبزیجات,سبزیجات,فلفل دلمه‌ای,,کیلوگرم,0,2099000001290
میوه و سبزیجات,سبزیجات,سیر,,کیلوگرم,0,2099000001306
میوه و سبزیجات,سبزیجات آماده,سبزی خوردن بسته‌ای,,عدد,0,2099000001313
میوه و سبزیجات,سبزیجات آماده,سبزی قورمه سرخ‌شده ۵۰۰ گرمی,,عدد,0,2099000001320
میوه و سبزیجات,سبزیجات آماده,سبزی آش سرخ‌شده ۵۰۰ گرمی,,عدد,0,2099000001337
منجمد,محصولات منجمد,سیب‌زمینی نیمه‌آماده ۹۰۰ گرمی,,عدد,0,2099000001344
منجمد,محصولات منجمد,سبزیجات مخلوط منجمد ۴۰۰ گرمی,,عدد,0,2099000001351
منجمد,محصولات منجمد,بستنی وانیلی ۱ لیتری,,عدد,0,2099000001368
منجمد,محصولات منجمد,بستنی قیفی,,عدد,0,2099000001375
منجمد,محصولات منجمد,بستنی چوبی شکلاتی,,عدد,0,2099000001382
منجمد,محصولات منجمد,پیتزا نیمه‌آماده,,عدد,0,2099000001399
شوینده و بهداشتی,شوینده,مایع ظرفشویی ۱ لیتری,,عدد,0,2099000001405
شوینده و بهداشتی,شوینده,مایع ظرفشویی ۳.۷۵ لیتری,,عدد,0,2099000001412
شوینده و بهداشتی,شوینده,پودر لباسشویی دستی ۵۰۰ گرمی,,عدد,0,2099000001429
شوینده و بهداشتی,شوینده,پودر ماشین لباسشویی ۲ کیلویی,,عدد,0,2099000001436
شوینده و بهداشتی,شوینده,مایع لباسشویی ۲ لیتری,,عدد,0,2099000001443
شوینده و بهداشتی,شوینده,سفیدکننده ۱ لیتری,,عدد,0,2099000001450
شوینده و بهداشتی,شوینده,جرم‌گیر ۱ لیتری,,عدد,0,2099000001467
شوینده و بهداشتی,شوینده,شیشه‌پاک‌کن ۵۰۰ میلی‌لیتری,,عدد,0,2099000001474
شوینده و بهداشتی,شوینده,مایع دستشویی ۵۰۰ میلی‌لیتری,,عدد,0,2099000001481
شوینده و بهداشتی,شوینده,اسکاچ ظرفشویی,,عدد,0,2099000001498
شوینده و بهداشتی,شوینده,سیم ظرفشویی,,عدد,0,2099000001504
شوینده و بهداشتی,شوینده,کیسه زباله رول,,عدد,0,2099000001511
شوینده و بهداشتی,بهداشت فردی,شامپو سر ۴۰۰ میلی‌لیتری,,عدد,0,2099000001528
شوینده و بهداشتی,بهداشت فردی,شامپو بدن ۴۰۰ میلی‌لیتری,,عدد,0,2099000001535
شوینده و بهداشتی,بهداشت فردی,صابون حمام ۱۲۵ گرمی,,عدد,0,2099000001542
شوینده و بهداشتی,بهداشت فردی,خمیردندان ۱۰۰ میلی‌لیتری,,عدد,0,2099000001559
شوینده و بهداشتی,بهداشت فردی,مسواک,,عدد,0,2099000001566
شوینده و بهداشتی,بهداشت فردی,دستمال کاغذی ۳۰۰ برگ,,عدد,0,2099000001573
شوینده و بهداشتی,بهداشت فردی,دستمال توالت ۴ رول,,عدد,0,2099000001580
شوینده و بهداشتی,بهداشت فردی,دستمال مرطوب ۷۰ عددی,,عدد,0,2099000001597
شوینده و بهداشتی,بهداشت فردی,نوار بهداشتی,,عدد,0,2099000001603
شوینده و بهداشتی,بهداشت فردی,پوشک بچه سایز ۴,,عدد,0,2099000001610
شوینده و بهداشتی,بهداشت فردی,تیغ اصلاح یک‌بارمصرف,,عدد,0,2099000001627
شوینده و بهداشتی,بهداشت فردی,کرم مرطوب‌کننده ۲۰۰ میلی‌لیتری,,عدد,0,2099000001634
لوازم خانگی مصرفی,لوازم مصرفی,فویل آلومینیومی,,عدد,0,2099000001641
لوازم خانگی مصرفی,لوازم مصرفی,سلفون ۳۰ متری,,عدد,0,2099000001658
لوازم خانگی مصرفی,لوازم مصرفی,لیوان یک‌بارمصرف ۵۰ عددی,,عدد,0,2099000001665
لوازم خانگی مصرفی,لوازم مصرفی,بشقاب یک‌بارمصرف ۲۵ عددی,,عدد,0,2099000001672
