category,subcategory,name,brand,unit,min_stock_alert,barcode,image_url,images
دستمال کاغذی و سلولزی,دستمال مرطوب,دستمال مرطوب پاک کننده دست و صورت 10 عددی نینو,,عدد,0,6260623310106,https://applestarshop.ir/V01-Update-02/%D8%A2%D8%B1%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA%DB%8C/Pic/1588676825.webp,https://applestarshop.ir/V01-Update-02/%D8%A2%D8%B1%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA%DB%8C/Pic/1588676825.webp|https://applestarshop.ir/V01-Update-02/%D8%A2%D8%B1%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA%DB%8C/Pic/6260623310106.webp
بهداشت و مراقبت مو,بهداشت,شامپو 220 گرمی شبنم,,عدد,0,6261101521038,https://applestarshop.ir/V01-Update-02/%D8%A2%D8%B1%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA%DB%8C/Pic/1472996382.webp,https://applestarshop.ir/V01-Update-02/%D8%A2%D8%B1%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA%DB%8C/Pic/1472996382.webp|https://applestarshop.ir/V01-Update-02/%D8%A2%D8%B1%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA%DB%8C/Pic/6261101521038%282%29.webp
دستمال کاغذی و سلولزی,دستمال کاغذی,دستمال ماشین طرح گلباران دو لایه 50 برگ های‌کلین,,عدد,0,6264234100378,https://applestarshop.ir/V01-Update-02/%D8%A2%D8%B1%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA%DB%8C/Pic/1483857650.webp,https://applestarshop.ir/V01-Update-02/%D8%A2%D8%B1%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA%DB%8C/Pic/1483857650.webp|https://applestarshop.ir/V01-Update-02/%D8%A2%D8%B1%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA%DB%8C/Pic/6264234100378-%283%29.webp|https://applestarshop.ir/V01-Update-02/%D8%A2%D8%B1%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA%DB%8C/Pic/6264234100378-%282%29.webp
بهداشت دهان و دندان,خمیر دندان,خمیر دندان لمینت (دی کلسیمی) 80 گرمی نسیم,,عدد,0,6261101511152,https://applestarshop.ir/V01-Update-02/%D8%A2%D8%B1%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA%DB%8C/Pic/6261101511152%281%29.webp,https://applestarshop.ir/V01-Update-02/%D8%A2%D8%B1%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA%DB%8C/Pic/6261101511152%281%29.webp|https://applestarshop.ir/V01-Update-02/%D8%A2%D8%B1%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA%DB%8C/Pic/6261101511152%284%29.webp|https://applestarshop.ir/V01-Update-02/%D8%A2%D8%B1%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA%DB%8C/Pic/6261101511152%283%29.webp
دستمال کاغذی و سلولزی,دستمال کاغذی,دستمال ماشین 2 لایه 100 برگ پرمیس,,عدد,0,6260136510444,https://applestarshop.ir/V01-Update-02/%D8%A2%D8%B1%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA%DB%8C/Pic/1473160094.webp,https://applestarshop.ir/V01-Update-02/%D8%A2%D8%B1%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA%DB%8C/Pic/1473160094.webp|https://applestarshop.ir/V01-Update-02/%D8%A2%D8%B1%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA%DB%8C/Pic/1473160109.webp
بهداشت و مراقبت پوست,بهداشت,صابون با عطر ارکیده سیاه 90 گرمی لوکس,,عدد,0,6260526413829,https://applestarshop.ir/V01-Update-02/%D8%A2%D8%B1%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA%DB%8C/Pic/1484640118.webp,https://applestarshop.ir/V01-Update-02/%D8%A2%D8%B1%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA%DB%8C/Pic/1484640118.webp|https://applestarshop.ir/V01-Update-02/%D8%A2%D8%B1%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA%DB%8C/Pic/6260526413829-%281%29.webp
بهداشت و مراقبت پوست,بهداشت,صابون با عطر بنفشه 90 گرمی لوکس,,عدد,0,6260526413843,https://applestarshop.ir/V01-Update-02/%D8%A2%D8%B1%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA%DB%8C/Pic/1484640172.webp,https://applestarshop.ir/V01-Update-02/%D8%A2%D8%B1%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA%DB%8C/Pic/1484640172.webp|https://applestarshop.ir/V01-Update-02/%D8%A2%D8%B1%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA%DB%8C/Pic/6260526413843-%281%29.webp
بهداشت و مراقبت پوست,بهداشت,صابون عصاره گل‌های سفید 90 گرمی لوکس,,عدد,0,6260526413867,https://applestarshop.ir/V01-Update-02/%D8%A2%D8%B1%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA%DB%8C/Pic/1563356562.webp,https://applestarshop.ir/V01-Update-02/%D8%A2%D8%B1%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA%DB%8C/Pic/1563356562.webp|https://applestarshop.ir/V01-Update-02/%D8%A2%D8%B1%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA%DB%8C/Pic/6260526413867-%282%29.webp
بهداشت و مراقبت پوست,بهداشت,صابون با عصاره گیاهان دریایی 90 گرمی لوکس,,عدد,0,6260526413881,https://applestarshop.ir/V01-Update-02/%D8%A2%D8%B1%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA%DB%8C/Pic/1484640323.webp,https://applestarshop.ir/V01-Update-02/%D8%A2%D8%B1%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA%DB%8C/Pic/1484640323.webp|https://applestarshop.ir/V01-Update-02/%D8%A2%D8%B1%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA%DB%8C/Pic/6260526413881-%284%29.webp|https://applestarshop.ir/V01-Update-02/%D8%A2%D8%B1%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA%DB%8C/Pic/6260526413881--%281%29.webp
بهداشت و مراقبت پوست,بهداشت,صابون با ترکیب روغن یاس و بادام 90 گرمی لوکس,,عدد,0,6260526413904,https://applestarshop.ir/V01-Update-02/%D8%A2%D8%B1%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA%DB%8C/Pic/1563356589.webp,https://applestarshop.ir/V01-Update-02/%D8%A2%D8%B1%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA%DB%8C/Pic/1563356589.webp|https://applestarshop.ir/V01-Update-02/%D8%A2%D8%B1%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA%DB%8C/Pic/6260526413904-%282%29.webp
