category,subcategory,name,brand,unit,min_stock_alert,barcode
لبنیات,شیر,شیر کم‌چرب ۱ لیتری,,عدد,0,
لبنیات,شیر,شیر پرچرب ۱ لیتری,,عدد,0,
لبنیات,شیر,شیر کاکائو ۲۰۰ میلی‌لیتر,,عدد,0,
لبنیات,شیر,شیر نیم‌چرب بطری ۹۴۶ میلی‌لیتر,,عدد,0,
لبنیات,ماست,ماست پرچرب ۹۰۰ گرمی,,عدد,0,
لبنیات,ماست,ماست کم‌چرب ۹۰۰ گرمی,,عدد,0,
لبنیات,ماست,ماست موسیر ۲۵۰ گرمی,,عدد,0,
لبنیات,ماست,ماست چکیده ۵۰۰ گرمی,,عدد,0,
لبنیات,ماست,ماست همزده ۱.۵ کیلویی,,عدد,0,
لبنیات,پنیر,پنیر سفید ۴۰۰ گرمی,,عدد,0,
لبنیات,پنیر,پنیر خامه‌ای ۲۰۰ گرمی,,عدد,0,
لبنیات,پنیر,پنیر پیتزا رنده‌شده ۵۰۰ گرمی,,عدد,0,
لبنیات,پنیر,پنیر لیقوان ۴۰۰ گرمی,,عدد,0,
لبنیات,سایر لبنیات,دوغ ۱.۵ لیتری,,عدد,0,
لبنیات,سایر لبنیات,دوغ گازدار ۳۰۰ میلی‌لیتر,,عدد,0,
لبنیات,سایر لبنیات,خامه صبحانه ۱۰۰ گرمی,,عدد,0,
لبنیات,سایر لبنیات,کره حیوانی ۱۰۰ گرمی,,عدد,0,
لبنیات,سایر لبنیات,کشک شیشه‌ای ۵۰۰ گرمی,,عدد,0,
نوشیدنی,نوشابه,نوشابه کولا ۱.۵ لیتری,,عدد,0,
نوشیدنی,نوشابه,نوشابه پرتقالی ۱.۵ لیتری,,عدد,0,
نوشیدنی,نوشابه,نوشابه کولا قوطی ۳۳۰ میلی‌لیتر,,عدد,0,
نوشیدنی,نوشابه,نوشابه لیمویی ۳۰۰ میلی‌لیتر,,عدد,0,
نوشیدنی,آب و آبمیوه,آب معدنی ۱.۵ لیتری,,عدد,0,
نوشیدنی,آب و آبمیوه,آب معدنی ۵۰۰ میلی‌لیتر,,عدد,0,
نوشیدنی,آب و آبمیوه,آبمیوه پرتقال ۱ لیتری,,عدد,0,
نوشیدنی,آب و آبمیوه,آبمیوه آناناس ۱ لیتری,,عدد,0,
نوشیدنی,آب و آبمیوه,آب‌آلبالو ۲۰۰ میلی‌لیتر,,عدد,0,
نوشیدنی,آب و آبمیوه,ماءالشعیر لیمو ۱ لیتری,,عدد,0,
نوشیدنی,آب و آبمیوه,ماءالشعیر کلاسیک قوطی,,عدد,0,
نوشیدنی,چای و قهوه,چای سیاه ۵۰۰ گرمی,,عدد,0,
نوشیدنی,چای و قهوه,چای کیسه‌ای ۱۰۰ عددی,,عدد,0,
نوشیدنی,چای و قهوه,قهوه فوری ۱۰۰ گرمی,,عدد,0,
نوشیدنی,چای و قهوه,نسکافه ۳ در ۱ (۲۰ عددی),,عدد,0,
نوشیدنی,چای و قهوه,دمنوش گل گاوزبان ۲۰ عددی,,عدد,0,
خواربار,برنج و حبوبات,برنج ایرانی هاشمی,,کیلوگرم,0,
خواربار,برنج و حبوبات,برنج پاکستانی,,کیلوگرم,0,
خواربار,برنج و حبوبات,عدس,,کیلوگرم,0,
خواربار,برنج و حبوبات,لوبیا قرمز,,کیلوگرم,0,
خواربار,برنج و حبوبات,لوبیا چیتی,,کیلوگرم,0,
خواربار,برنج و حبوبات,نخود,,کیلوگرم,0,
خواربار,برنج و حبوبات,لپه,,کیلوگرم,0,
خواربار,برنج و حبوبات,ماش,,کیلوگرم,0,
خواربار,روغن,روغن مایع آفتابگردان ۱.۸ لیتری,,عدد,0,
خواربار,روغن,روغن سرخ‌کردنی ۱.۸ لیتری,,عدد,0,
خواربار,روغن,روغن زیتون ۵۰۰ میلی‌لیتری,,عدد,0,
